Model,Mean Squared Error,R2 Score
Linear Regression,0.14752727914079328,0.8616759934491033
Logistic Regression,0.15504005340453939,0.8546318925714476
GaussianNB,0.5313751668891856,0.5017738923008491
SVM,0.13651535380507343,0.8720009559994015
Random Forest,0.06250352368375248,0.9413956668228497
Gradient Boosting,0.09698192053245105,0.9090681541123882
XGBoost,0.07139029665393713,0.933063268661499
